gene,D_used,p_hmp,p_bonf_hmp,is_sig_hmp_bonf,small_systems,num_small_systems,important_systems_matched,num_important_systems_matched,sig_drugs,n_sig_drugs,is_important
ABL1,12,1.9287022832925472e-10,1.3848082394040488e-07,True,Cell motility;EGFR-MAPK signaling;EGFR/PI3K signaling;Transmembrane tyrosine kinase signaling,4,Transmembrane tyrosine kinase signaling,1,Doxorubicin;Gemcitabine;MK-1775,3,True
PPP2R2A,12,8.828902191368906e-10,6.339151773402874e-07,True,Integrator-PP2A complex;Phosphatase 2A catalytic subunit;mTOR regulation of autophagy/ribosome biogenesis,3,mTOR regulation of autophagy/ribosome biogenesis,1,CD437;Gemcitabine;MK-1775,3,True
BMPR1A,12,1.579422704571396e-09,1.1340255018822622e-06,True,INSR-FOXO,1,INSR-FOXO,1,Doxorubicin;Gemcitabine;Methotrexate,3,True
FBXW7,12,2.1164393612776365e-09,1.519603461397343e-06,True,Mediator complex;Mediator/CCR-NOT complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,5,Mediator complex;Mediator/CCR-NOT complex;Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity,4,5-FU;MK-1775;Olaparib,3,True
TOP2A,12,2.228083870922125e-09,1.5997642193220858e-06,True,Checkpoint-regulated DNA repair;Chromatin binding;Chromosome centrometric region;G1/S phase;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair;Nucleolus,8,Chromatin binding;Chromosome centrometric region;G1/S phase;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair,5,5-FU;Doxorubicin;Etoposide,3,True
ARFRP1,12,2.5336451700413603e-08,1.8191572320896966e-05,True,Endoplasmic Reticulum protein processing;Protein Transport,2,Protein Transport,1,5-FU;Doxorubicin;Methotrexate,3,True
CCND1,12,6e-300,4.3080000000000005e-297,True,CDK holoenzyme complex I;CDK holoenzyme complex II;Checkpoint-regulated DNA repair;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase;INSR-FOXO;Mitosis;Ubiquitin/Proteasome System,9,CDK holoenzyme complex I;CDK holoenzyme complex II;Cyclin D associated events in G1;G1 to S cell cycle control;G1/S phase;INSR-FOXO,6,Doxorubicin;Etoposide,2,True
ATM,12,1.2e-299,8.616000000000001e-297,True,Homologous recombination (HR) and Fanconi Anemia repair;MDM2-p53 pathway;Mitosis;RPA complex associated proteins,4,Homologous recombination (HR) and Fanconi Anemia repair;RPA complex associated proteins,2,Doxorubicin;MK-1775,2,True
BRCA1,12,1.2e-299,8.616000000000001e-297,True,Checkpoint-regulated DNA repair;G1/S phase;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair;Mitosis;MutL alpha/beta complex;RPA complex associated proteins;Regulation of TP53 Activity;Regulation of nuclear protein ubiquitiation;Resolution of D-loop structures;p53 regulation,12,G1/S phase;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;MutL alpha/beta complex;RPA complex associated proteins,5,Doxorubicin;Etoposide,2,True
SKP1,12,1.2e-299,8.616000000000001e-297,True,Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity;Ubiquitin/Proteasome System,3,Ubiquitin regulation of mitophagy;Ubiquitin regulation of p53 activity,2,5-FU;MK-1775,2,True
SLX4,12,1.2e-299,8.616000000000001e-297,True,Extended mismatch repair complex,1,Extended mismatch repair complex,1,5-FU;Camptothecin,2,True
SMC1A,12,1.2e-299,8.616000000000001e-297,True,Chromatin binding;Cohesin;Extended cohesin complex,3,Chromatin binding,1,Doxorubicin;Methotrexate,2,True
NPM1,12,2.664534207877744e-15,1.9131355612562204e-12,True,Mitosis;Nucleolus;PML body;RNA processing 1;Ribosome abundance control;Ribosome biogenesis,6,RNA processing 1,1,Gemcitabine;Methotrexate,2,True
RAD51C,12,2.6645350583375938e-15,1.9131361718863923e-12,True,Checkpoint-regulated DNA repair;Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair;Mismatch and excision repair;Resolution of D-loop structures,5,Homologous recombination;Homologous recombination (HR) and Fanconi Anemia repair,2,Doxorubicin;Methotrexate,2,True
CD40,12,8.260057553477124e-14,5.930721323396575e-11,True,Immune system;Lymphocyte activation;Regulation of immune responses;TNFR/Traf signaling,4,TNFR/Traf signaling,1,CD437;Etoposide,2,True
BCL2L2,12,4.5268349788934305e-12,3.250267514845483e-09,True,Apoptosis Regulation,1,Apoptosis Regulation,1,5-FU;Etoposide,2,True
SMAD2,12,2.367324478620412e-11,1.6997389756494557e-08,True,SMAD-TGFbeta signaling;TGF-beta/Smad signaling;Transcription factor (TF) binding,3,Transcription factor (TF) binding,1,Doxorubicin;Etoposide,2,True
BCORL1,12,2.456127641314839e-11,1.7634996464640543e-08,True,Extended PRC1 complex;PcG protein complex,2,Extended PRC1 complex;PcG protein complex,2,Methotrexate;Olaparib,2,True
